Facility Name,Location Address,Location Address2,City,State,Zip Code,County,Region,Phone Number,Owner Name,Owner Type,Activity Desc,Activity Number,Active,East Coordinate,North Coordinate,Accuracy Code,Waste Types,Regulatory Status,Authorization Number,Authorization Issue Date,Expiration Date,Georeference
R & R Salvage Inc.,1329 William Street,,Buffalo,NY,14206,Erie,9,7168563608,Robert Redino,Private,Scrap metal processor - registration,[15V30065],Yes,187883,4755100,1 - No accuracy stated,Scrap Metal - Aluminum ;Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous ;Stainless Steel,Registration,15V30065,10/10/2019,10/10/2024,"1329 William Street
Buffalo, NY 14206
(42.884843, -78.821617)"
RC Dorr Farm,33775 Sam Adams Rd,,Clayton,NY,13624,Jefferson,6,3156495470,Richard L.Dorr,Private,VDF - small - registration,[23V20018],Yes,407422,4890160,4.1 - Address Matching,Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous ;Scrap Metal - Aluminum ;End of Life Vehicles,Registration,23V20018,11/21/2019,11/20/2024,"33775 Sam Adams Rd
Clayton, NY 13624
(44.156872, -76.160335)"
Gil Housel,120 Vine Lane,,Guilderland,NY,12303,Albany,4,5183567827,Gil Housel,Private,Landfill - land clearing debris,[01D01],Yes,586156,4732794,4.2 - Utilization of GIS and existing spatial data,,Registration,01D01,07/16/2010,,"120 Vine Lane
Guilderland, NY 12303
(42.742889, -73.947199)"
Bens Tire Center Inc.,540 East Delavan Avenue,,Buffalo,NY,14211,Erie,9,7168941483,Bens Tire Center Inc.,Private,Motor vehicle repair shop - large - registration,[15V40078],Yes,186828,4759307,1 - No accuracy stated,End of Life Vehicles,Registration,15V40078,06/04/2020,06/04/2025,"540 East Delavan Avenue
Buffalo, NY 14211
(42.921794, -78.836927)"
Truxton (T) Transfer Station,6514 Academy Street,,Town of Truxton,NY,13159,Cortland,7,6078426984,Town of Truxton,Municipal,Transfer facility - registration,[12T10006],Yes,415747,4730586,4 - GIS Assisted,MSW (Residential/Institutional & Commercial),Registration,12T10006,01/28/2018,05/03/2023,"6514 Academy Street
Town of Truxton, NY 13159
(42.723508, -76.029343)"
Crushed Products Inc,320 Bridge Street,,Syracuse,NY,13209,Onondaga,7,3154686225,Crushed Products Inc.,Private,CDDHRF - asphalt pavement and millings - registration,[34C20017],Yes,401189,4768833,4 - GIS Assisted,Asphalt,Registration,34C20017,07/27/2018,05/03/2023,"320 Bridge Street
Syracuse, NY 13209
(43.064213, -76.216958)"
Oceanside Transfer Station,3737 Long Beach Road,,Oceanside,NY,11572,Nassau,1,5163784210,Town of Hempstead Department of Sanitation,Municipal,Transfer station - permit,[30T19],Yes,615142,4497197,4.2 - Utilization of GIS and existing spatial data,Yard Waste;White Goods;Concrete;Construction & Demolition Debris;Metals (Ferrous & Non-Ferrous),Permit,1-2820-00435/00008,02/05/2019,02/04/2024,"3737 Long Beach Road
Oceanside, NY 11572
(40.61914, -73.640917)"
Bristol Hill SLF,3125 State Route 3,,Fulton,NY,13069,Oswego,7,3155919200,Oswego County DSW,County,Composting - SSO - registration,[38P20002],Yes,391402,4800263,,Yard Waste;Wood (Chips),Registration,38Y01,,02/19/2019,"3125 State Route 3
Fulton, NY 13069
(43.33881, -76.341138)"
Cazenovia Transfer Station,3422 Constine Bridge Road,,Cazenovia,NY,13163,Madison,7,3156552882,Madison County DSWS,County,RHRF - greater than 5 tpd - registration,[27R20002],Yes,432497,4748995,1 - No accuracy stated,Single Stream,Registration,27R20002,12/04/2018,12/03/2023,"3422 Constine Bridge Road
Cazenovia, NY 13163
(42.891084, -75.826004)"
Faztec Industries  Asphalt Pave,331 Edward Curry Avenue,,Staten Island,NY,10303,Richmond,2,7184941600,John Difazio,Private,C&D processing - registration,[43W61],Yes,569241,4495760,1 - No accuracy stated,,Registration,,,,"331 Edward Curry Avenue
Staten Island, NY 10303
(40.611216, -74.187055)"
Halfmoon Transfer Station,322 Route 146,,Halfmoon,NY,12065,Saratoga,5,5186643127,Town of Halfmoon,Municipal,Transfer station - registration,[46R04],Yes,603665,4746632,,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Waste Oil (Other);Commingled Paper & Containers;Newspaper;Metals (Ferrous & Non-Ferrous);Waste Tires;Electronics,Registration,46R04,01/25/1994,,"322 Route 146
Halfmoon, NY 12065
(42.866242, -73.732537)"
Norwood Recycling Center,4 Bernard Avenue,,Norwood,NY,13668,St. Lawrence,6,3153532372,Norwood Lake Association,,RHRF - registration,[45M06],Yes,500337,4955177,4.3 - Utilization of Digital Orthophoto Quads,Magazines;Commingled Paper;Paper / Cardboard;Office Paper;Metals (Ferrous);Metals (Non-Ferrous);PET;Plastics;Electronics,Registration,45M06,01/31/1996,,"4 Bernard Avenue
Norwood, NY 13668
(44.749964, -74.994797)"
Mamaroneck TS (V),313 Fayette Avenue,,Mamaroneck,NY,10543-0369,Westchester,3,9147777745,Village of Mamaroneck,Municipal,Transfer station - registration,[60R05],Yes,605805,4534197,,Yard Waste,Registration,60R05,,,"313 Fayette Avenue
Mamaroneck, NY 10543-0369
(40.952271, -73.742738)"
Gedney Yard Recycling,87 Gedney Way,,White Plains,NY,10601,Westchester,3,9144221210,City of White Plains DPW,Municipal,RHRF - 5 tpd or less - registration,[60R10001],Yes,604463,4540971,,Plastic;Commingled Paper;Container Glass,Registration,60R10001,09/17/2019,09/17/2024,"87 Gedney Way
White Plains, NY 10601
(41.013886, -73.756129)"
Champlain (V) LCD Landfill,1104 State Route 9,,Champlain,NY,12919,Clinton,5,5182984152,Village of Champlain,Municipal,Landfill - land clearing debris,[10D19],Yes,622930,4982521,4 - GIS Assisted,,Registration,10D19,,,"1104 State Route 9
Champlain, NY 12919
(44.983416, -73.445464)"
Fulton Auto Salvage,277 Honey Hill Road,,Fulton,NY,13069,Oswego,7,3155925559,Steve Woodworth,,VDF - large - registration,[38V50009],Yes,381840,4799895,1 - No accuracy stated,End of Life Vehicles,Registration,38V50009,02/08/2019,02/07/2020,"277 Honey Hill Road
Fulton, NY 13069
(43.344129, -76.457876)"
Tabor Road Transfer Station,12 Tabor Road,,Halfmoon,NY,12151,Saratoga,5,5182825600,Consolidated Waste Services LLC,Private,RHRF - permit,[46RP0021],Yes,600301,4751336,,Single Stream,Permit,5-4138-00263/00001,12/27/2019,12/26/2029,"12 Tabor Road
Halfmoon, NY 12151
(42.90843, -73.773068)"
Recycled Earth Products Inc,140 Old Northport Road,,Kings Park,NY,11754,Suffolk,1,6313684000,Toby Alan Carlson,Private,Composting - yard waste - permit,[52W97],Yes,644600,4526700,4.3 - Utilization of Digital Orthophoto Quads,Yard Waste,Permit,1-4734-00304/00005,12/15/2016,12/15/2021,"140 Old Northport Road
Kings Park, NY 11754
(40.879295, -73.28509)"
Premier Metals Group LLC,11 Cairn Street,,Rochester,NY,14611,Monroe,8,5854364020,Michael Diamond,Private,VDF - small - registration,[28V20001],Yes,283261,4780671,,,Registration,28V20001,06/19/2018,06/18/2023,"11 Cairn Street
Rochester, NY 14611
(43.145696, -77.663106)"
Diversion Brewing Co (DB Brewing),729 Wyncoop Creek Road,,Chemung,NY,14825,Chemung,8,6075429168,Dustin Blokzyl,,Land application - UFPW - registration,[08A30004],Yes,365728,4653061,4.2 - Utilization of GIS and existing spatial data,Non-recognizable Food Processing Waste,,08A30004,01/22/2019,01/21/2024,"729 Wyncoop Creek Road
Chemung, NY 14825
(42.01815, -76.621702)"
Hanson Aggregates NY LLC - Scottsville Road Plant,1535 Scottsville Rd,,Rochester,NY,14623,Monroe,8,5854363250,Hansen Aggregates New York LLC,Private,C&D processing - registration,[28W17],Yes,281800,4775300,1 - No accuracy stated,Concrete,Registration,28W17,,,"1535 Scottsville Rd
Rochester, NY 14623
(43.101719, -77.677112)"
Camaro Specialties,112 Elm Street,,East Aurora,NY,14052,Erie,9,7166527086,Bob Harris,Private,Motor vehicle repair shop - small - registration,[15V10035],Yes,204539,4741055,1 - No accuracy stated,End of Life Vehicles,Registration,15V10035,02/05/2019,02/05/2024,"112 Elm Street
East Aurora, NY 14052
(42.764442, -78.61051)"
JPD Masonry & Landscape Supply LLC,1637 Broad Hollow Road,,East Farmingdale,NY,11735,Suffolk,1,5167794326,JPD Masonry & Landscaping Supply LLC,Private,CDDHRF - concrete rock brick - registration,[52C10284],Yes,633190,4511272,4.3 - Utilization of Digital Orthophoto Quads,Concrete;Rock,Registration,52C10284,09/10/2019,09/09/2024,"1637 Broad Hollow Road
East Farmingdale, NY 11735
(40.742144, -73.422757)"
Caroga Transfer Station,232 Everson Road (Lane Road),,Caroga,NY,12032,Fulton,5,5187365501,Fulton County,County,RHRF - 5 tpd or less - registration,[18R10002],Yes,542731,4771071,,Single Stream;Electronics;Other Ferrous Scrap Metal;Other Non-Ferrous Scrap Metal,Registration,18R10002,07/02/2018,07/01/2023,
Adams Transfer Station,6224 County Rt 97,,Town of Lorraine,NY,13605,Jefferson,6,3152323057,Town of Adams,Municipal,Transfer facility - registration,[23T10034],Yes,419329,4847764,1 - No accuracy stated,MSW (Residential/Institutional & Commercial);Waste Tires;Construction & Demolition Debris,Registration,23T10034,11/18/2020,11/18/2025,"6224 County Rt 97
Town of Lorraine, NY 13605
(43.778695, -76.002578)"
Chemung County Area 3 C&D Landfill,1488 County Road 60,,Chemung,NY,14825,Chemung,8,8002273552,Chemung County,County,Landfill - C&DD - permit,[08D04],Yes,360817,4654738,3.6 - Unknown type,Construction & Demolition Debris,Permit,8-0728-00004/00013,06/02/2016,06/01/2026,
J & A Bruno; LLC,280 Meredith Avenue ( when mailing: Building E),,Staten Island,NY,10314,Richmond,2,7184941500,J and A Bruno,Private,C&D processing - registration,[43M27],Yes,568209,4494582,4.3 - Utilization of Digital Orthophoto Quads,Concrete;Rock;Sand,Registration,43M27,12/11/1994,,"280 Meredith Avenue ( when mailing: Building E)
Staten Island, NY 10314
(40.600322, -74.194718)"
Hopewell (T) Rural Transfer,2716 County Rd 47,,Hopewell,NY,14424,Ontario,8,5853943850,Town of Hopewell,Municipal,Transfer facility - registration,[35T10018],Yes,321668,4752006,4.1 - Address Matching,MSW (Residential/Institutional & Commercial);Single Stream;Bulk Metal;Electronics,,35T10018,10/20/2020,10/19/2025,"2716 County Rd 47
Hopewell, NY 14424
(42.899246, -77.183747)"
West Sparta TS,8302 Kysorville-Byersville Rd,,Dansville,NY,14437,Livingston,8,5853353138,Town of West Sparta,Municipal,Transfer station - registration,[26R13],Yes,271063,4722424,,Commingled Paper & Containers;Metals (Ferrous & Non-Ferrous);Commingled Plastics,Registration,26R13,,,"8302 Kysorville-Byersville Rd
Dansville, NY 14437
(42.621018, -77.79124)"
Erie Vo-Vo Inc,125 Mohawk Street,,Whitesboro,NY,13492,Oneida,6,3157368215,Mark Kuchera,Private,VDF - large - registration,[33V50023],Yes,475074,4774308,,End of Life Vehicles,,33V50023,02/05/2020,02/04/2025,"125 Mohawk Street
Whitesboro, NY 13492
(43.127587, -75.282839)"
Vespa Sand & Stone Rte 126 LCD,Rte 126,,Watertown,NY,13601,Jefferson,6,3157886330,John Vespa Inc.,Private,Landfill - land clearing debris,[23D33],Yes,430457,4867382,1 - No accuracy stated,Wood (Brush/ Branches/ Trees/ Stumps);Concrete;Asphalt;Soil (Clean),Registration,23D33,06/14/2010,,
Zerniak Auto Parts,8684 Ridge Road West,,Brockport,NY,14420,Monroe,8,5856373392,Ronald Zerniak,Private,Vehicle Dismantling Facility,[7002822],Yes,261246,4791317,,,,,,,"8684 Ridge Road West
Brockport, NY 14420
(43.236833, -77.940846)"
(V) Pleasantville Compost,1 Village Lane,,Pleasantville,NY,10570,Westchester,3,9147691690,Village of Pleasantville,,Composting - yard trimmings - registration,[60P10005],Yes,601442,4554327,,Leaves,Registration,60Y18,,,"1 Village Lane
Pleasantville, NY 10570
(41.129745, -73.78997)"
Oneida-Herkimer Western Transfer Station,575 Perimeter Road,,Rome (C),NY,13440,Oneida,6,3153390288,Oneida Herkimer SWMA,Municipal,Transfer station - permit,[33T02],Yes,467931,4783860,4.3 - Utilization of Digital Orthophoto Quads,Construction & Demolition Debris;Bypass Waste (Unprocessible/Processible) ;MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Single Stream;Waste Tires;Metals (Ferrous & Non-Ferrous);White Goods,None,6-3013-00029/00014,07/01/2015,06/30/2020,
Metro Metals Recycling,8 Anderson Drive,,Albany,NY,12205,Albany,4,5184382100,Charles VanHall,Private,VDF - large - registration,[01V50102],Yes,600342,4726010,,End of Life Vehicles;Waste Tire,Registration,01V50102,04/01/2019,04/01/2024,"8 Anderson Drive
Albany, NY 12205
(42.680174, -73.775023)"
Rosendale TS (T),410 Whiteport Road,,Rosendale,NY,12472,Ulster,3,9143380113,Town of Rosendale,Municipal,Transfer facility - registration,[56T10005],Yes,577367,4636483,,Sewage Treatment Plant Sludge;MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Commingled Paper & Containers;Metals (Ferrous & Non-Ferrous);Single Stream;Wood (Brush/ Branches/ Trees/ Stumps);Corrugated Cardboard;Electronics,Registration,56T10005,12/31/2018,12/31/2023,
Rustic Auto Body,85 Conners Road,,Peru,NY,12972,Clinton,5,5186438839,Michael Relation,Private,VDF - large - registration,[10V50010],Yes,612832,4940534,4 - GIS Assisted,End of Life Vehicles,Registration,10V50010,07/25/2019,07/25/2024,"85 Conners Road
Peru, NY 12972
(44.609629, -73.57824)"
Lewis County (Croghan) Transfer Station,10319 State Route 812,,Croghan (T),NY,13367,Lewis,6,3153461609,Lewis County Solid Waste,County,RHRF - 5 tpd or less - registration,[25R10002],Yes,468811,4864389,1 - No accuracy stated,Single Stream;Other Ferrous Scrap Metal;Electronics,Registration,25R10002,02/04/2019,02/03/2024,
Wholesale Mulch & Sawdust; Inc.,3711 Waverly Road,,Owego,NY,13827,Tioga,7,6076872637,Philip Nestor,Private,Mulch processing - registration,[54M10016],Yes,392318,4660310,1 - No accuracy stated,Wood (Pallets & Crates);Wood (Clean);Wood (Unadulterated),Registration,54M10016,07/12/2018,07/11/2023,"3711 Waverly Road
Owego, NY 13827
(42.087367, -76.302289)"
Main Street Used Tire,1699 Main Street,,Buffalo,NY,14209,Erie,9,7168848473,Pavei Faynshteyn,Private,Waste tire storage - Dealer,[15K54],Yes,184903,4759015,4.2 - Utilization of GIS and existing spatial data,Waste Tires,Registration,15K54,03/22/2013,,"1699 Main Street
Buffalo, NY 14209
(42.918755, -78.860924)"
Bill's Sales & Services,667 Vernal Butler Road,,Cairo,NY,12413,Greene,4,5186228205,William A. Sirago Sr.,Private,VDF - small - registration,[20V22401],Yes,579845,4683772,,End of Life Vehicles,Registration,20V22401,06/20/2019,06/20/2024,"667 Vernal Butler Road
Cairo, NY 12413
(42.30125, -74.029963)"
City of Syracuse - Peat Street,100 City Crossroads Drive,,Syracuse,NY,13210,Onondaga,7,3154482489,Syracuse Industrial Development Agency (SIDA),Municipal,Transfer facility - registration,[34T10014],Yes,408964,4767331,,Waste Tires;Street Sweepings;Construction & Demolition Debris,Registration,34T10014,06/26/2018,06/26/2023,"100 City Crossroads Drive
Syracuse, NY 13210
(43.053179, -76.117673)"
National Waste Disposal Corp,9 Lincoln Ave,,Bayshore,NY,11706,Suffolk,1,6312420300,National Waste Disposal Corp,Private,C&D processing - permit,[52W57],Yes,644718,4514705,4.3 - Utilization of Digital Orthophoto Quads,Construction & Demolition Debris,None,1-4728-00937/00004,10/31/2013,10/30/2018,"9 Lincoln Ave
Bayshore, NY 11706
(40.770402, -73.285356)"
NYC Oil Corp,233 Washington Street,,Mt. Vernon,NY,10553,Westchester,3,9146636868,Carlos Valdez,Private,Used cooking oil & yellow grease processing - permit,[60UP0001],Yes,598787,4529550,,Used Cooking Oil,Permit,3-5508-01161/00001,01/16/2019,01/15/2024,"233 Washington Street
Mt. Vernon, NY 10553
(40.910746, -73.827149)"
Oswego County Recycling Drop-Off RHRF,700 East Seneca St,,Oswego,NY,13126,Oswego,7,3155919200,Oswego County DSW,Municipal,RHRF - greater than 5 tpd - registration,[38R20023],Yes,380171,4813916,,Source Separated Recyclables (Metal/Glass/Paper/Plastic),Registration,38R20023,02/20/2019,02/20/2024,"700 East Seneca St
Oswego, NY 13126
(43.469591, -76.480137)"
Brookfield Resource at Montrose (nee Kaufman Auto Parts),Box 217 Route 9A,2105 Albany Post Road,Montrose,NY,10548,Westchester,3,9149301626,Brookfield Resource Management,Private,Scrap metal processor - registration,[60V30001],Yes,589860,4566752,,Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous,Registration,60V30001,02/13/2019,02/12/2023,
Jeff's Septic Service (Newton Road),Newton Rd.,,Burdett,NY,14818,Schuyler,8,6075359530,Jeffrey P. Confer,Private,Land application - septage - registration,[49A40015],Yes,335567,4698860,1 - No accuracy stated,Septage,Registration,49A40015,09/03/2020,09/03/2025,
Northern Transfer Station,5802 St Hwy 28,,Cooperstown,NY,13326,Otsego,4,6075475967,Otsego County,Municipal,RHRF - permit,[39RP5050],Yes,504419,4728822,1 - No accuracy stated,,Permit,4-3650-00019/00003,08/07/2019,07/18/2024,"5802 St Hwy 28
Cooperstown, NY 13326
(42.708022, -74.949385)"
MEG Syracuse,532 State Fair Boulevard,,Syracuse,NY,13204,Onondaga,7,3154710305,Environmental Products & Services Inc,Private,Household hazardous waste,[34T75],Yes,403577,4768168,,,Permit,7-3115-00193/00009,10/12/2017,10/11/2027,"532 State Fair Boulevard
Syracuse, NY 13204
(43.059631, -76.183057)"
Lang Industries Inc,67 Arena Court,,Narrowsburg,NY,12764,Sullivan,3,8452523000,Edward Lang,Private,Transfer station - permit,[53T09],Yes,497830,4604705,,Septage;Sewage Treatment Plant Sludge,Permit,3-4848-00033/00002-0,02/16/2005,12/31/2010,"67 Arena Court
Narrowsburg, NY 12764
(41.596571, -75.026093)"
Hemstreet Farm,30 Hemstreet Road,,Schaghticoke,NY,12154,Rensselaer,4,,New England Waste Services of ME; DBA Casella Organics,Private,Land application - UFPW - registration,[42A34201],Yes,613434,4752158,,Non-recognizable Food Processing Waste,Registration,42A34201,03/15/2019,03/15/2024,"30 Hemstreet Road
Schaghticoke, NY 12154
(42.908904, -73.606416)"
Poland Sand & Gravel,Koenig Road,,Floyd,NY,13440,Oneida,6,,PSG Realty LLC,Private,CDDHRF - concrete rock brick - registration,[33C10024],Yes,472117,4782361,1.1 - Obtained from original submission and unverified process,Concrete;Brick;Rock,,33C10024,10/15/2020,10/14/2025,
Fleetwash,1147 Rt 13,,Cortland,NY,13045,Cortland,7,,,,Nonspecific facility - permit,[12XP0012],Yes,401521,4715568,,,Application,,,,"1147 Rt 13
Cortland, NY 13045
(42.585978, -76.199444)"
Flag Container Services Inc,11 Ferry Street,,Staten Island,NY,10302,Richmond,2,7187204650,Peter Franchini,Private,C&D processing - permit,[43W13],Yes,573410,4499274,,Construction & Demolition Debris;Concrete;Soil (Clean);Wood (Clean);Wood (Pallets & Crates);Paper/Cardboard;Plastics;Metals (Aluminum);Waste Tires;Wood (Brush/ Branches/ Trees/ Stumps),Permit,2-6401-00020/00004,,06/30/2020,"11 Ferry Street
Staten Island, NY 10302
(40.640904, -74.131894)"
Munter Pit Land Clearing Debris Landfill,881 Murray Road,,Middle Grove,NY,12850,Saratoga,5,5185846174,Munter Enterprises,Private,Landfill - land clearing debris,[46D22],Yes,588905,4769666,,Land Clearing Debris,Registration,46D22,05/14/2002,,"881 Murray Road
Middle Grove, NY 12850
(43.074515, -73.907743)"
Ontario County Sanitary Landfill,1879 Route 5&20,,Stanley,NY,14561,Ontario,8,5855264420,Ontario County,County,Landfill - MSW - permit,[35S11],Yes,330097,4746921,4.3 - Utilization of Digital Orthophoto Quads,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Industrial;Sewage Treatment Plant Sludge;Asbestos (Friable & Non-Friable),Permit,8-3244-00004/00001,07/22/2014,01/20/2025,"1879 Route 5&20
Stanley, NY 14561
(42.860757, -77.081086)"
Southwest Recycle,7341 Southwestern Blvd,,Eden,NY,14057,Erie,9,7166271010,James Sickau,Private,C&D processing - registration,[15W62],Yes,177182,4733578,4.2 - Utilization of GIS and existing spatial data,Concrete;Asphalt,Registration,,,,"7341 Southwestern Blvd
Eden, NY 14057
(42.686866, -78.94234)"
Metalico Aluminum Recovery Inc,6225 Thompson Road,,Syracuse,NY,13206,Onondaga,7,3154639292,Metalico Rochester,Private,Scrap metal processor - registration,[34V30042],Yes,411322,4769768,,Scrap Metal - Aluminum ;Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous,Registration,34V30042,02/21/2019,02/21/2024,"6225 Thompson Road
Syracuse, NY 13206
(43.07451, -76.089275)"
IWS Chestnut Ridge Transfer Station,560 Chestnut Ridge Rd.,,Chestnut Ridge,NY,10977,Rockland,3,8452680400,IWS Transfer Systems of NY; Inc,,Transfer station - permit,[44T03],Yes,579981,4549893,,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Commingled Paper & Containers,None,3-3926-00055/00009,04/04/2011,01/30/2014,"560 Chestnut Ridge Rd.
Chestnut Ridge, NY 10977
(41.09654, -74.047958)"
Sullivan County Mamakating Transfer Station,164 Dump Road,,Wurtsboro,NY,12788,Sullivan,3,8458880256,Sullivan County,County,Transfer facility - registration,[53T104],Yes,540580,4607636,,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Electronics,Registration,53T104,05/18/2018,05/18/2023,"164 Dump Road
Wurtsboro, NY 12788
(41.620236, -74.513739)"
Tannery Road Recycling; LLC,7772 Tannery Road,,Rome,NY,13440,Oneida,6,5855941600,Diecast Holdings; LLC,Private,Scrap metal processor - registration,[33V30007],Yes,456586,4787377,1.1 - Obtained from original submission and unverified process,Scrap Metal - Ferrous,Registration,33V30007,03/06/2019,03/05/2024,"7772 Tannery Road
Rome, NY 13440
(43.238485, -75.534889)"
Sal's Metal Corp.,900 Edgewater Road,,Bronx,NY,10474,Bronx,2,7183284921,Sal's Metal Corp.,Private,Scrap metal processor - registration,[03V30002],Yes,594097,4519490,4.2 - Utilization of GIS and existing spatial data,Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous ;Lead-acid Batteries,Registration,03V30002,10/01/2019,09/30/2024,"900 Edgewater Road
Bronx, NY 10474
(40.821, -73.884435)"
Sea Cliff (V),68 Altamont Ave,,Sea Cliff,NY,11579,Nassau,1,5166710080,Village of Sea Cliff,Municipal,Transfer facility - registration,[30T10118],Yes,614817,4523305,,Street Sweepings;Construction & Demolition Debris;Yard Waste;White Goods;Metals (Ferrous & Non-Ferrous),Registration,30-0118,10/03/2019,10/02/2024,"68 Altamont Ave
Sea Cliff, NY 11579
(40.85255, -73.638534)"
Clinton County MRF / Casella,286 Sand Road,,Morrisonville,NY,12962,Clinton,5,5185635514,Clinton County,County,RHRF - greater than 5 tpd - registration,[10R20009],Yes,611371,4949669,1.1 - Obtained from original submission and unverified process,Commingled Containers,Registration,10R20009,07/26/2019,07/26/2024,"286 Sand Road
Morrisonville, NY 12962
(44.690624, -73.594343)"
Get Green Auto Parts; Inc.,133 Minnie Bennett Road,,Schuylerville,NY,12871,Saratoga,5,5187450316,John Smith,Private,Scrap metal processor - registration,[46V30001],Yes,612454,4768228,,,Registration,46V30001,08/15/2018,08/14/2023,"133 Minnie Bennett Road
Schuylerville, NY 12871
(43.057918, -73.617752)"
Modern Landfill; Inc.,1445 Pletcher Road,,Model City,NY,14107,Niagara,9,7167548226,Modern Corporation,Private,RHRF - greater than 5 tpd - registration,[32R20011],Yes,176763,4791881,4.2 - Utilization of GIS and existing spatial data,Paperboard/Boxboard;Single Stream,Registration,32R20011,01/09/2019,01/09/2024,"1445 Pletcher Road
Model City, NY 14107
(43.211376, -78.979848)"
UCRRA Ulster Transfer Station,999 Flatbush Road,,Kingston,NY,12401,Ulster,3,8453360600,UCRRA Public Benefit Corp,County,Transfer station - permit,[56T05],Yes,585537,4647777,,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Wood (Clean);Commingled Paper & Containers;Wood (Brush/ Branches/ Trees/ Stumps);Corrugated Cardboard;Metals (Ferrous & Non-Ferrous);Single Stream;Electronics;Waste Tires,None,3-5154-00125/00001,08/15/2012,08/17/2019,"999 Flatbush Road
Kingston, NY 12401
(41.974711, -73.971089)"
Rock Cut Road,5808 Rock Cut Road,,Jamesville,NY,13078,Onondaga,7,3154532866,Onondaga County RRA,County,Transfer facility - permit,[34TP0057],Yes,409130,4761872,4.2 - Utilization of GIS and existing spatial data,Commingled Paper & Containers;MSW (Residential/Institutional & Commercial);Corrugated Cardboard;Metals (Ferrous & Non-Ferrous);Waste Tires,Permit,7-3142-00036/00003,11/08/2018,03/02/2024,"5808 Rock Cut Road
Jamesville, NY 13078
(43.004628, -76.117713)"
Chesterfield Transfer Station,Auger Lake Rd,,Chesterfield,NY,12944,Essex,5,5188349042,Essex County,County,RHRF - registration,[16R39],Yes,619930,4927123,,,Registration,16R39,,,
Villager Aggregates Recycling Center,244 Lake Ave,,Rochester,NY,14613,Monroe,8,5852237697,Villager Construction Inc,Private,C&D processing - registration,[28W14],Yes,286500,4782800,1 - No accuracy stated,Concrete;Asphalt;Brick;Soil (Clean),Registration,28W14,12/03/2011,,"244 Lake Ave
Rochester, NY 14613
(43.168172, -77.625835)"
Hastings Main West,NYS Route 11,,Hastings,NY,13076,Oswego,7,3154335115,Syracuse Sand & Gravel; LLC,Private,C&D processing - registration,[38W02],Yes,405665,4799751,1 - No accuracy stated,,Registration,38W02,08/19/2013,,
Development Authority of the North Country RHRF,8023 Washington Street,,Harrisville,NY,13648,Lewis,6,3156613214,Development Authority of the North Country,Municipal,RHRF - greater than 5 tpd - registration,[25R20011],Yes,473546,4888996,,Single Stream,Registration,25R20011,12/06/2019,12/05/2024,"8023 Washington Street
Harrisville, NY 13648
(44.154091, -75.329585)"
Town Line Auto Parts,2877 Townline Road,,Jamestown,NY,14701,Chautauqua,9,7164842353,Bruce Macey,Private,VDF - large - registration,[07V50044],Yes,144887,4672091,1 - No accuracy stated,End of Life Vehicles,Registration,07V50044,01/23/2019,01/23/2024,"2877 Townline Road
Jamestown, NY 14701
(42.120462, -79.29518)"
July Auto Wrecking Inc.,20 First Ave,,Garden City Park,NY,11040,Nassau,1,5167460297,Barbara Walsh,Private,VDF - large - registration,[30V50127],Yes,612243,4510234,1 - No accuracy stated,Lead-acid Batteries;Used Tire;Used Oil,Registration,30J0126,01/28/2020,01/27/2025,"20 First Ave
Garden City Park, NY 11040
(40.735371, -73.670873)"
South County Transfer Station,2570 South Work Street,,Falconer,NY,14733,Chautauqua,9,7166656894,Chautauqua County DPF,County,Transfer station - permit,[07T19],Yes,154133,4670705,4.2 - Utilization of GIS and existing spatial data,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Electronics;Corrugated Cardboard;Metals (Ferrous & Non-Ferrous);Magazines;Junk Mail;Newspaper;Commingled Plastics,Permit,9-0638-00012/00002,01/25/2018,01/24/2028,"2570 South Work Street
Falconer, NY 14733
(42.110782, -79.183653)"
Wellsville Transfer Station,77 West Dyke Street,,Wellsville,NY,14895,Allegany,9,5852689230,Allegany County DPW,County,Transfer facility - registration,[02T10018],Yes,256967,4666378,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial),Registration,02T10018,10/08/2019,10/07/2024,"77 West Dyke Street
Wellsville, NY 14895
(42.114871, -77.948219)"
